TRUCK_ID,MENU_TYPE_ID,PRIMARY_CITY,REGION,ISO_REGION,COUNTRY,ISO_COUNTRY_CODE,FRANCHISE_FLAG,YEAR,MAKE,MODEL,EV_FLAG,FRANCHISE_ID,TRUCK_OPENING_DATE,TRUCK_AGE
3,3,San Mateo,California,CA,United States,US,1,2004,Freightliner,MT45 Utilimaster,0,2,2021-10-01,1
4,4,San Mateo,California,CA,United States,US,1,1997,Chevrolet,P30,1,3,2021-01-01,1
5,5,San Mateo,California,CA,United States,US,1,2010,Custom,Van,1,4,2022-04-01,1
6,6,San Mateo,California,CA,United States,US,1,2010,Airstream,Trailer,0,5,2019-07-01,1
7,7,San Mateo,California,CA,United States,US,1,2010,Custom,Van,0,6,2021-01-01,1
8,8,San Mateo,California,CA,United States,US,1,1999,Chevrolet,P30,1,7,2022-04-01,1
9,9,San Mateo,California,CA,United States,US,1,2008,Custom,Box Truck,0,8,2020-07-01,1
12,12,San Mateo,California,CA,United States,US,1,2010,Custom,Van,0,11,2021-04-01,1
13,13,San Mateo,California,CA,United States,US,1,2000,Freightliner,MT45 Utilimaster,0,12,2021-07-01,1
14,14,San Mateo,California,CA,United States,US,1,2004,Freightliner,MT45 Utilimaster,0,12,2020-10-01,1
15,15,San Mateo,California,CA,United States,US,1,2010,Airstream,Trailer,0,13,2021-01-01,1
16,1,Denver,Colorado,CO,United States,US,1,1974,Volkswagen,Westfalia Bus,1,14,2022-04-01,1
18,3,Denver,Colorado,CO,United States,US,1,2008,Custom,Box Truck,0,15,2020-01-01,1
19,4,Denver,Colorado,CO,United States,US,1,2018,Nissan,NV 2500 High Roof,0,16,2021-07-01,1
20,5,Denver,Colorado,CO,United States,US,1,2012,Custom,Box Truck,0,17,2021-07-01,1
23,8,Denver,Colorado,CO,United States,US,1,2010,Custom,Van,0,19,2020-01-01,1
24,9,Denver,Colorado,CO,United States,US,1,2000,Freightliner,MT45 Utilimaster,0,20,2021-07-01,1
26,11,Denver,Colorado,CO,United States,US,1,2010,Custom,Van,0,22,2021-04-01,1
27,12,Denver,Colorado,CO,United States,US,1,2000,Freightliner,MT45 Utilimaster,0,23,2020-07-01,1
28,13,Denver,Colorado,CO,United States,US,1,2009,Freightliner,MT45 Utilimaster,0,23,2021-01-01,1
29,14,Denver,Colorado,CO,United States,US,1,1999,Chevrolet,P30,0,24,2020-10-01,1
30,15,Denver,Colorado,CO,United States,US,1,1997,Chevrolet,P30,0,25,2021-04-01,1
31,1,Seattle,Washington,WA,United States,US,1,2010,Custom,Van,0,26,2020-01-01,1
32,2,Seattle,Washington,WA,United States,US,1,2009,Freightliner,MT45 Utilimaster,1,27,2021-07-01,1
34,4,Seattle,Washington,WA,United States,US,1,1999,Chevrolet,P30,0,28,2021-10-01,1
35,5,Seattle,Washington,WA,United States,US,1,1997,Chevrolet,P30,0,28,2022-01-01,1
38,8,Seattle,Washington,WA,United States,US,1,2012,Custom,Box Truck,1,31,2022-07-01,1
40,10,Seattle,Washington,WA,United States,US,1,2012,Custom,Box Truck,1,33,2021-01-01,1
41,11,Seattle,Washington,WA,United States,US,1,1997,Custom,Box Truck,0,34,2021-04-01,1
42,12,Seattle,Washington,WA,United States,US,1,2000,Freightliner,MT45 Utilimaster,0,35,2020-10-01,1
45,15,Seattle,Washington,WA,United States,US,1,2001,Freightliner,MT45 Utilimaster,0,38,2020-04-01,1
48,3,Boston,Massachusetts,MA,United States,US,1,2007,Custom,Van,0,39,2020-07-01,1
50,5,Boston,Massachusetts,MA,United States,US,1,1974,Volkswagen,Westfalia Bus,0,40,2020-07-01,1
51,6,Boston,Massachusetts,MA,United States,US,1,2012,Custom,Box Truck,0,41,2020-01-01,1
54,9,Boston,Massachusetts,MA,United States,US,1,2010,Custom,Van,1,44,2022-04-01,1
55,10,Boston,Massachusetts,MA,United States,US,1,2000,Freightliner,MT45 Utilimaster,0,45,2020-01-01,1
58,13,Boston,Massachusetts,MA,United States,US,1,2010,Custom,Van,1,47,2022-01-01,1
59,14,Boston,Massachusetts,MA,United States,US,1,2000,Freightliner,MT45 Utilimaster,1,48,2022-04-01,1
62,2,New York City,New York,NY,United States,US,1,2010,Custom,Van,0,50,2021-07-01,1
63,3,New York City,New York,NY,United States,US,1,2012,Custom,Box Truck,1,51,2022-04-01,1
66,6,New York City,New York,NY,United States,US,1,2010,Custom,Van,1,53,2022-04-01,1
70,10,New York City,New York,NY,United States,US,1,2004,Freightliner,MT45 Utilimaster,0,55,2021-01-01,1
72,12,New York City,New York,NY,United States,US,1,2010,Custom,Van,1,57,2022-04-01,1
73,13,New York City,New York,NY,United States,US,1,2004,Freightliner,MT45 Utilimaster,0,58,2020-01-01,1
74,14,New York City,New York,NY,United States,US,1,2007,Freightliner,MT45 Utilimaster,0,59,2020-10-01,1
76,1,Toronto,Ontario,ON,Canada,CA,1,2010,Custom,Van,0,61,2021-04-01,1
77,2,Toronto,Ontario,ON,Canada,CA,0,2000,Freightliner,MT45 Utilimaster,1,1,2021-10-01,1
78,3,Toronto,Ontario,ON,Canada,CA,0,2004,Freightliner,MT45 Utilimaster,1,1,2022-01-01,1
79,4,Toronto,Ontario,ON,Canada,CA,1,2010,Airstream,Trailer,0,62,2020-01-01,1
83,8,Toronto,Ontario,ON,Canada,CA,1,2004,Freightliner,MT45 Utilimaster,0,64,2021-10-01,1
84,9,Toronto,Ontario,ON,Canada,CA,0,2000,Freightliner,MT45 Utilimaster,1,1,2021-10-01,1
85,10,Toronto,Ontario,ON,Canada,CA,1,2010,Custom,Van,0,65,2021-01-01,1
88,13,Toronto,Ontario,ON,Canada,CA,1,2012,Custom,Box Truck,0,67,2020-10-01,1
89,14,Toronto,Ontario,ON,Canada,CA,1,2001,Freightliner,MT45 Utilimaster,0,68,2020-01-01,1
92,2,Vancouver,British Columbia,BC,Canada,CA,1,2000,Freightliner,MT45 Utilimaster,0,71,2020-10-01,1
93,3,Vancouver,British Columbia,BC,Canada,CA,1,2008,Custom,Box Truck,1,72,2022-01-01,1
94,4,Vancouver,British Columbia,BC,Canada,CA,1,2000,Freightliner,MT45 Utilimaster,0,73,2020-01-01,1
95,5,Vancouver,British Columbia,BC,Canada,CA,1,2001,Airstream,Trailer,1,74,2022-04-01,1
96,6,Vancouver,British Columbia,BC,Canada,CA,1,1999,Chevrolet,P30,1,75,2022-01-01,1
99,9,Vancouver,British Columbia,BC,Canada,CA,1,2001,Freightliner,MT45 Utilimaster,0,77,2021-01-01,1
101,11,Vancouver,British Columbia,BC,Canada,CA,1,2008,Custom,Box Truck,0,78,2020-01-01,1
102,12,Vancouver,British Columbia,BC,Canada,CA,0,2000,Freightliner,MT45 Utilimaster,0,1,2020-10-01,1
103,13,Vancouver,British Columbia,BC,Canada,CA,1,2010,Airstream,Trailer,0,79,2021-04-01,1
104,14,Vancouver,British Columbia,BC,Canada,CA,1,2002,Freightliner,MT45 Utilimaster,0,80,2020-01-01,1
107,2,Montreal,Quebec,QC,Canada,CA,1,2012,Custom,Box Truck,1,82,2022-01-01,1
108,3,Montreal,Quebec,QC,Canada,CA,1,2000,Freightliner,MT45 Utilimaster,1,83,2022-01-01,1
